2024-10-10 18:01:30,318 - INFO - Unable to initialize backend 'cuda': 
2024-10-10 18:01:30,318 - INFO - Unable to initialize backend 'rocm': module 'jaxlib.xla_extension' has no attribute 'GpuAllocatorConfig'
2024-10-10 18:01:30,318 - INFO - Unable to initialize backend 'tpu': UNIMPLEMENTED: LoadPjrtPlugin is not implemented on windows yet.
2024-10-10 18:01:30,935 - INFO - Number of Nodes: 1
2024-10-10 18:01:30,935 - INFO - Number of Edges: 0
2024-10-10 18:01:30,935 - INFO - Number of Users: 130
2024-10-10 18:01:30,935 - INFO - Running a Single Submodular Game
2024-10-10 18:01:32,076 - INFO - Term 1: 33887416320.000000, Term 2: 0.000093
2024-10-10 18:01:32,101 - INFO - Term 1: 33555161088.000000, Term 2: 0.000097
2024-10-10 18:01:32,117 - INFO - Term 1: 33229494272.000000, Term 2: 0.000102
2024-10-10 18:01:32,148 - INFO - Term 1: 32910024704.000000, Term 2: 0.000108
2024-10-10 18:01:32,180 - INFO - Term 1: 32596422656.000000, Term 2: 0.000114
2024-10-10 18:01:32,196 - INFO - Term 1: 32288370688.000000, Term 2: 0.000120
2024-10-10 18:01:32,227 - INFO - Term 1: 31985582080.000000, Term 2: 0.000127
2024-10-10 18:01:32,258 - INFO - Term 1: 31687802880.000000, Term 2: 0.000134
2024-10-10 18:01:32,275 - INFO - Term 1: 31394791424.000000, Term 2: 0.000142
2024-10-10 18:01:32,306 - INFO - Term 1: 31106318336.000000, Term 2: 0.000151
2024-10-10 18:01:32,337 - INFO - Term 1: 30822189056.000000, Term 2: 0.000160
2024-10-10 18:01:32,368 - INFO - Term 1: 30542209024.000000, Term 2: 0.000171
2024-10-10 18:01:32,384 - INFO - Term 1: 30266195968.000000, Term 2: 0.000182
2024-10-10 18:01:32,415 - INFO - Term 1: 29993992192.000000, Term 2: 0.000194
2024-10-10 18:01:32,446 - INFO - Term 1: 29725444096.000000, Term 2: 0.000206
2024-10-10 18:01:32,469 - INFO - Term 1: 29460404224.000000, Term 2: 0.000220
2024-10-10 18:01:32,494 - INFO - Term 1: 29198743552.000000, Term 2: 0.000235
2024-10-10 18:01:32,525 - INFO - Term 1: 28940333056.000000, Term 2: 0.000251
2024-10-10 18:01:32,541 - INFO - Term 1: 28685053952.000000, Term 2: 0.000269
2024-10-10 18:01:32,572 - INFO - Term 1: 28432797696.000000, Term 2: 0.000288
2024-10-10 18:01:32,604 - INFO - Term 1: 28183457792.000000, Term 2: 0.000308
2024-10-10 18:01:32,635 - INFO - Term 1: 27936937984.000000, Term 2: 0.000330
2024-10-10 18:01:32,650 - INFO - Term 1: 27693137920.000000, Term 2: 0.000353
2024-10-10 18:01:32,682 - INFO - Term 1: 27451975680.000000, Term 2: 0.000379
2024-10-10 18:01:32,714 - INFO - Term 1: 27213365248.000000, Term 2: 0.000406
2024-10-10 18:01:32,729 - INFO - Term 1: 26977226752.000000, Term 2: 0.000435
2024-10-10 18:01:32,769 - INFO - Term 1: 26743488512.000000, Term 2: 0.000467
2024-10-10 18:01:32,792 - INFO - Term 1: 26512074752.000000, Term 2: 0.000501
2024-10-10 18:01:32,808 - INFO - Term 1: 26282917888.000000, Term 2: 0.000538
2024-10-10 18:01:32,839 - INFO - Term 1: 26055956480.000000, Term 2: 0.000578
2024-10-10 18:01:32,871 - INFO - Term 1: 25831124992.000000, Term 2: 0.000620
2024-10-10 18:01:32,902 - INFO - Term 1: 25608366080.000000, Term 2: 0.000666
2024-10-10 18:01:32,918 - INFO - Term 1: 25387622400.000000, Term 2: 0.000715
2024-10-10 18:01:32,949 - INFO - Term 1: 25168840704.000000, Term 2: 0.000768
2024-10-10 18:01:32,981 - INFO - Term 1: 24951969792.000000, Term 2: 0.000824
2024-10-10 18:01:32,996 - INFO - Term 1: 24736964608.000000, Term 2: 0.000885
2024-10-10 18:01:33,028 - INFO - Term 1: 24523767808.000000, Term 2: 0.000951
2024-10-10 18:01:33,059 - INFO - Term 1: 24312342528.000000, Term 2: 0.001021
2024-10-10 18:01:33,122 - INFO - Term 1: 24102643712.000000, Term 2: 0.001096
2024-10-10 18:01:33,137 - INFO - Term 1: 23894628352.000000, Term 2: 0.001176
2024-10-10 18:01:33,170 - INFO - Term 1: 23688261632.000000, Term 2: 0.001263
2024-10-10 18:01:33,170 - INFO - Term 1: 23483498496.000000, Term 2: 0.001355
2024-10-10 18:01:33,185 - INFO - Term 1: 23280300032.000000, Term 2: 0.001454
2024-10-10 18:01:33,200 - INFO - Term 1: 23078641664.000000, Term 2: 0.001560
2024-10-10 18:01:33,200 - INFO - Term 1: 22878476288.000000, Term 2: 0.001674
2024-10-10 18:01:33,216 - INFO - Term 1: 22679783424.000000, Term 2: 0.001795
2024-10-10 18:01:33,216 - INFO - Term 1: 22482524160.000000, Term 2: 0.001925
2024-10-10 18:01:33,231 - INFO - Term 1: 22286667776.000000, Term 2: 0.002063
2024-10-10 18:01:33,247 - INFO - Term 1: 22092181504.000000, Term 2: 0.002211
2024-10-10 18:01:33,247 - INFO - Term 1: 21899048960.000000, Term 2: 0.002369
2024-10-10 18:01:33,263 - INFO - Term 1: 21707229184.000000, Term 2: 0.002538
2024-10-10 18:01:33,270 - INFO - Term 1: 21516705792.000000, Term 2: 0.002718
2024-10-10 18:01:33,279 - INFO - Term 1: 21327446016.000000, Term 2: 0.002910
2024-10-10 18:01:33,294 - INFO - Term 1: 21139425280.000000, Term 2: 0.003114
2024-10-10 18:01:33,294 - INFO - Term 1: 20952625152.000000, Term 2: 0.003332
2024-10-10 18:01:33,310 - INFO - Term 1: 20767016960.000000, Term 2: 0.003563
2024-10-10 18:01:33,310 - INFO - Term 1: 20582580224.000000, Term 2: 0.003810
2024-10-10 18:01:33,326 - INFO - Term 1: 20399294464.000000, Term 2: 0.004073
2024-10-10 18:01:33,341 - INFO - Term 1: 20217133056.000000, Term 2: 0.004354
2024-10-10 18:01:33,341 - INFO - Term 1: 20036079616.000000, Term 2: 0.004649
2024-10-10 18:01:33,357 - INFO - Term 1: 19856115712.000000, Term 2: 0.004964
2024-10-10 18:01:33,373 - INFO - Term 1: 19677220864.000000, Term 2: 0.005301
2024-10-10 18:01:33,373 - INFO - Term 1: 19499370496.000000, Term 2: 0.005657
2024-10-10 18:01:33,389 - INFO - Term 1: 19322554368.000000, Term 2: 0.006031
2024-10-10 18:01:33,404 - INFO - Term 1: 19146747904.000000, Term 2: 0.006435
2024-10-10 18:01:33,404 - INFO - Term 1: 18971942912.000000, Term 2: 0.006854
2024-10-10 18:01:33,420 - INFO - Term 1: 18798114816.000000, Term 2: 0.007308
2024-10-10 18:01:33,420 - INFO - Term 1: 18625249280.000000, Term 2: 0.007781
2024-10-10 18:01:33,435 - INFO - Term 1: 18453329920.000000, Term 2: 0.008287
2024-10-10 18:01:33,451 - INFO - Term 1: 18282346496.000000, Term 2: 0.008825
2024-10-10 18:01:33,467 - INFO - Term 1: 18112276480.000000, Term 2: 0.009379
2024-10-10 18:01:33,470 - INFO - Term 1: 17943111680.000000, Term 2: 0.009982
2024-10-10 18:01:33,483 - INFO - Term 1: 17774829568.000000, Term 2: 0.010605
2024-10-10 18:01:33,483 - INFO - Term 1: 17607428096.000000, Term 2: 0.011275
2024-10-10 18:01:33,498 - INFO - Term 1: 17440880640.000000, Term 2: 0.011973
2024-10-10 18:01:33,514 - INFO - Term 1: 17275187200.000000, Term 2: 0.012712
2024-10-10 18:01:33,514 - INFO - Term 1: 17110325248.000000, Term 2: 0.013516
2024-10-10 18:01:33,530 - INFO - Term 1: 16946284544.000000, Term 2: 0.014331
2024-10-10 18:01:33,545 - INFO - Term 1: 16783056896.000000, Term 2: 0.015204
2024-10-10 18:01:33,545 - INFO - Term 1: 16620624896.000000, Term 2: 0.016100
2024-10-10 18:01:33,561 - INFO - Term 1: 16458982400.000000, Term 2: 0.017088
2024-10-10 18:01:33,577 - INFO - Term 1: 16298110976.000000, Term 2: 0.018085
2024-10-10 18:01:33,577 - INFO - Term 1: 16138006528.000000, Term 2: 0.019175
2024-10-10 18:01:33,592 - INFO - Term 1: 15978655744.000000, Term 2: 0.020309
2024-10-10 18:01:33,592 - INFO - Term 1: 15820046336.000000, Term 2: 0.021474
2024-10-10 18:01:33,608 - INFO - Term 1: 15662170112.000000, Term 2: 0.022731
2024-10-10 18:01:33,624 - INFO - Term 1: 15505017856.000000, Term 2: 0.023998
2024-10-10 18:01:33,624 - INFO - Term 1: 15348577280.000000, Term 2: 0.025346
2024-10-10 18:01:33,639 - INFO - Term 1: 15192840192.000000, Term 2: 0.026775
2024-10-10 18:01:33,639 - INFO - Term 1: 15037798400.000000, Term 2: 0.028284
2024-10-10 18:01:33,655 - INFO - Term 1: 14883435520.000000, Term 2: 0.029869
2024-10-10 18:01:33,670 - INFO - Term 1: 14729751552.000000, Term 2: 0.031521
2024-10-10 18:01:33,670 - INFO - Term 1: 14576736256.000000, Term 2: 0.033228
2024-10-10 18:01:33,686 - INFO - Term 1: 14424377344.000000, Term 2: 0.035175
2024-10-10 18:01:33,702 - INFO - Term 1: 14272669696.000000, Term 2: 0.036953
2024-10-10 18:01:33,702 - INFO - Term 1: 14121603072.000000, Term 2: 0.038968
2024-10-10 18:01:33,717 - INFO - Term 1: 13971165184.000000, Term 2: 0.040979
2024-10-10 18:01:33,717 - INFO - Term 1: 13821357056.000000, Term 2: 0.043262
2024-10-10 18:01:33,733 - INFO - Term 1: 13672165376.000000, Term 2: 0.045512
2024-10-10 18:01:33,752 - INFO - Term 1: 13523584000.000000, Term 2: 0.047666
2024-10-10 18:01:33,763 - INFO - Term 1: 13375608832.000000, Term 2: 0.050091
2024-10-10 18:01:33,770 - INFO - Term 1: 13228225536.000000, Term 2: 0.052841
2024-10-10 18:01:33,780 - INFO - Term 1: 13081431040.000000, Term 2: 0.055422
2024-10-10 18:01:33,780 - INFO - Term 1: 12935217152.000000, Term 2: 0.058338
2024-10-10 18:01:33,796 - INFO - Term 1: 12789580800.000000, Term 2: 0.060959
2024-10-10 18:01:33,811 - INFO - Term 1: 12644512768.000000, Term 2: 0.063898
2024-10-10 18:01:33,874 - INFO - Term 1: 50000000188416.000000, Term 2: 0.065011
2024-10-10 18:01:33,890 - INFO - Term 1: 46711033856.000000, Term 2: 0.000061
2024-10-10 18:01:33,890 - INFO - Term 1: 45348696064.000000, Term 2: 0.000059
2024-10-10 18:01:33,905 - INFO - Term 1: 44303339520.000000, Term 2: 0.000058
2024-10-10 18:01:33,905 - INFO - Term 1: 43422068736.000000, Term 2: 0.000058
2024-10-10 18:01:33,905 - INFO - Term 1: 42645643264.000000, Term 2: 0.000057
2024-10-10 18:01:33,905 - INFO - Term 1: 41943707648.000000, Term 2: 0.000057
2024-10-10 18:01:33,905 - INFO - Term 1: 41298206720.000000, Term 2: 0.000058
2024-10-10 18:01:33,905 - INFO - Term 1: 40697397248.000000, Term 2: 0.000058
2024-10-10 18:01:33,905 - INFO - Term 1: 40133099520.000000, Term 2: 0.000058
2024-10-10 18:01:33,921 - INFO - Term 1: 39599370240.000000, Term 2: 0.000059
2024-10-10 18:01:33,921 - INFO - Term 1: 39091728384.000000, Term 2: 0.000060
2024-10-10 18:01:33,921 - INFO - Term 1: 38606684160.000000, Term 2: 0.000061
2024-10-10 18:01:33,921 - INFO - Term 1: 38141460480.000000, Term 2: 0.000063
2024-10-10 18:01:33,921 - INFO - Term 1: 37693812736.000000, Term 2: 0.000064
2024-10-10 18:01:33,921 - INFO - Term 1: 37261885440.000000, Term 2: 0.000066
2024-10-10 18:01:33,921 - INFO - Term 1: 36844130304.000000, Term 2: 0.000068
2024-10-10 18:01:33,937 - INFO - Term 1: 36439240704.000000, Term 2: 0.000070
2024-10-10 18:01:33,937 - INFO - Term 1: 36046090240.000000, Term 2: 0.000072
2024-10-10 18:01:33,937 - INFO - Term 1: 35663720448.000000, Term 2: 0.000075
2024-10-10 18:01:33,937 - INFO - Term 1: 35291291648.000000, Term 2: 0.000078
2024-10-10 18:01:33,937 - INFO - Term 1: 34928058368.000000, Term 2: 0.000081
2024-10-10 18:01:33,937 - INFO - Term 1: 34573377536.000000, Term 2: 0.000085
2024-10-10 18:01:33,952 - INFO - Term 1: 34226665472.000000, Term 2: 0.000089
2024-10-10 18:01:33,952 - INFO - Term 1: 33887416320.000000, Term 2: 0.000093
2024-10-10 18:01:33,952 - INFO - Term 1: 33555161088.000000, Term 2: 0.000097
2024-10-10 18:01:33,952 - INFO - Term 1: 33229494272.000000, Term 2: 0.000102
2024-10-10 18:01:33,952 - INFO - Term 1: 32910024704.000000, Term 2: 0.000108
2024-10-10 18:01:33,952 - INFO - Term 1: 32596422656.000000, Term 2: 0.000114
2024-10-10 18:01:33,952 - INFO - Term 1: 32288370688.000000, Term 2: 0.000120
2024-10-10 18:01:33,968 - INFO - Term 1: 31985582080.000000, Term 2: 0.000127
2024-10-10 18:01:33,971 - INFO - Term 1: 31687802880.000000, Term 2: 0.000134
2024-10-10 18:01:33,971 - INFO - Term 1: 31394791424.000000, Term 2: 0.000142
2024-10-10 18:01:33,971 - INFO - Term 1: 31106318336.000000, Term 2: 0.000151
2024-10-10 18:01:33,971 - INFO - Term 1: 30822189056.000000, Term 2: 0.000160
2024-10-10 18:01:33,971 - INFO - Term 1: 30542209024.000000, Term 2: 0.000171
2024-10-10 18:01:33,971 - INFO - Term 1: 30266195968.000000, Term 2: 0.000182
2024-10-10 18:01:33,984 - INFO - Term 1: 29993992192.000000, Term 2: 0.000194
2024-10-10 18:01:33,984 - INFO - Term 1: 29725444096.000000, Term 2: 0.000206
2024-10-10 18:01:33,984 - INFO - Term 1: 29460404224.000000, Term 2: 0.000220
2024-10-10 18:01:33,984 - INFO - Term 1: 29198743552.000000, Term 2: 0.000235
2024-10-10 18:01:33,984 - INFO - Term 1: 28940333056.000000, Term 2: 0.000251
2024-10-10 18:01:33,984 - INFO - Term 1: 28685053952.000000, Term 2: 0.000269
2024-10-10 18:01:33,984 - INFO - Term 1: 28432797696.000000, Term 2: 0.000288
2024-10-10 18:01:33,999 - INFO - Term 1: 28183457792.000000, Term 2: 0.000308
2024-10-10 18:01:33,999 - INFO - Term 1: 27936937984.000000, Term 2: 0.000330
2024-10-10 18:01:33,999 - INFO - Term 1: 27693137920.000000, Term 2: 0.000353
2024-10-10 18:01:33,999 - INFO - Term 1: 27451975680.000000, Term 2: 0.000379
2024-10-10 18:01:33,999 - INFO - Term 1: 27213365248.000000, Term 2: 0.000406
2024-10-10 18:01:33,999 - INFO - Term 1: 26977226752.000000, Term 2: 0.000435
2024-10-10 18:01:34,015 - INFO - Term 1: 26743488512.000000, Term 2: 0.000467
2024-10-10 18:01:34,015 - INFO - Term 1: 26512074752.000000, Term 2: 0.000501
2024-10-10 18:01:34,015 - INFO - Term 1: 26282917888.000000, Term 2: 0.000538
2024-10-10 18:01:34,015 - INFO - Term 1: 26055956480.000000, Term 2: 0.000578
2024-10-10 18:01:34,015 - INFO - Term 1: 25831124992.000000, Term 2: 0.000620
2024-10-10 18:01:34,015 - INFO - Term 1: 25608366080.000000, Term 2: 0.000666
2024-10-10 18:01:34,015 - INFO - Term 1: 25387622400.000000, Term 2: 0.000715
2024-10-10 18:01:34,031 - INFO - Term 1: 25168840704.000000, Term 2: 0.000768
2024-10-10 18:01:34,031 - INFO - Term 1: 24951969792.000000, Term 2: 0.000824
2024-10-10 18:01:34,031 - INFO - Term 1: 24736964608.000000, Term 2: 0.000885
2024-10-10 18:01:34,031 - INFO - Term 1: 24523767808.000000, Term 2: 0.000951
2024-10-10 18:01:34,031 - INFO - Term 1: 24312342528.000000, Term 2: 0.001021
2024-10-10 18:01:34,031 - INFO - Term 1: 24102643712.000000, Term 2: 0.001096
2024-10-10 18:01:34,031 - INFO - Term 1: 23894628352.000000, Term 2: 0.001176
2024-10-10 18:01:34,046 - INFO - Term 1: 23688261632.000000, Term 2: 0.001263
2024-10-10 18:01:34,046 - INFO - Term 1: 23483498496.000000, Term 2: 0.001355
2024-10-10 18:01:34,046 - INFO - Term 1: 23280300032.000000, Term 2: 0.001454
2024-10-10 18:01:34,046 - INFO - Term 1: 23078641664.000000, Term 2: 0.001560
2024-10-10 18:01:34,046 - INFO - Term 1: 22878476288.000000, Term 2: 0.001674
2024-10-10 18:01:34,046 - INFO - Term 1: 22679783424.000000, Term 2: 0.001795
2024-10-10 18:01:34,062 - INFO - Term 1: 22482524160.000000, Term 2: 0.001925
2024-10-10 18:01:34,062 - INFO - Term 1: 22286667776.000000, Term 2: 0.002063
2024-10-10 18:01:34,062 - INFO - Term 1: 22092181504.000000, Term 2: 0.002211
2024-10-10 18:01:34,062 - INFO - Term 1: 21899048960.000000, Term 2: 0.002369
2024-10-10 18:01:34,071 - INFO - Term 1: 21707229184.000000, Term 2: 0.002538
2024-10-10 18:01:34,071 - INFO - Term 1: 21516705792.000000, Term 2: 0.002718
2024-10-10 18:01:34,071 - INFO - Term 1: 21327446016.000000, Term 2: 0.002910
2024-10-10 18:01:34,078 - INFO - Term 1: 21139425280.000000, Term 2: 0.003114
2024-10-10 18:01:34,078 - INFO - Term 1: 20952625152.000000, Term 2: 0.003332
2024-10-10 18:01:34,078 - INFO - Term 1: 20767016960.000000, Term 2: 0.003563
2024-10-10 18:01:34,078 - INFO - Term 1: 20582580224.000000, Term 2: 0.003810
2024-10-10 18:01:34,078 - INFO - Term 1: 20399294464.000000, Term 2: 0.004073
2024-10-10 18:01:34,078 - INFO - Term 1: 20217133056.000000, Term 2: 0.004354
2024-10-10 18:01:34,094 - INFO - Term 1: 20036079616.000000, Term 2: 0.004649
2024-10-10 18:01:34,094 - INFO - Term 1: 19856115712.000000, Term 2: 0.004964
2024-10-10 18:01:34,094 - INFO - Term 1: 19677220864.000000, Term 2: 0.005301
2024-10-10 18:01:34,094 - INFO - Term 1: 19499370496.000000, Term 2: 0.005657
2024-10-10 18:01:34,094 - INFO - Term 1: 19322554368.000000, Term 2: 0.006031
2024-10-10 18:01:34,094 - INFO - Term 1: 19146747904.000000, Term 2: 0.006435
2024-10-10 18:01:34,094 - INFO - Term 1: 18971942912.000000, Term 2: 0.006854
2024-10-10 18:01:34,109 - INFO - Term 1: 18798114816.000000, Term 2: 0.007308
2024-10-10 18:01:34,109 - INFO - Term 1: 18625249280.000000, Term 2: 0.007781
2024-10-10 18:01:34,109 - INFO - Term 1: 18453329920.000000, Term 2: 0.008287
2024-10-10 18:01:34,109 - INFO - Term 1: 18282346496.000000, Term 2: 0.008825
2024-10-10 18:01:34,109 - INFO - Term 1: 18112276480.000000, Term 2: 0.009379
2024-10-10 18:01:34,109 - INFO - Term 1: 17943111680.000000, Term 2: 0.009982
2024-10-10 18:01:34,109 - INFO - Term 1: 17774829568.000000, Term 2: 0.010605
2024-10-10 18:01:34,125 - INFO - Term 1: 17607428096.000000, Term 2: 0.011275
2024-10-10 18:01:34,125 - INFO - Term 1: 17440880640.000000, Term 2: 0.011973
2024-10-10 18:01:34,125 - INFO - Term 1: 17275187200.000000, Term 2: 0.012712
2024-10-10 18:01:34,125 - INFO - Term 1: 17110325248.000000, Term 2: 0.013516
2024-10-10 18:01:34,125 - INFO - Term 1: 16946284544.000000, Term 2: 0.014331
2024-10-10 18:01:34,125 - INFO - Term 1: 16783056896.000000, Term 2: 0.015204
2024-10-10 18:01:34,125 - INFO - Term 1: 16620624896.000000, Term 2: 0.016100
2024-10-10 18:01:34,141 - INFO - Term 1: 16458982400.000000, Term 2: 0.017088
2024-10-10 18:01:34,141 - INFO - Term 1: 16298110976.000000, Term 2: 0.018085
2024-10-10 18:01:34,141 - INFO - Term 1: 16138006528.000000, Term 2: 0.019175
2024-10-10 18:01:34,141 - INFO - Term 1: 15978655744.000000, Term 2: 0.020309
2024-10-10 18:01:34,141 - INFO - Term 1: 15820046336.000000, Term 2: 0.021474
2024-10-10 18:01:34,141 - INFO - Term 1: 15662170112.000000, Term 2: 0.022731
2024-10-10 18:01:34,141 - INFO - Term 1: 15505017856.000000, Term 2: 0.023998
2024-10-10 18:01:34,156 - INFO - Term 1: 15348577280.000000, Term 2: 0.025346
2024-10-10 18:01:34,156 - INFO - Term 1: 15192840192.000000, Term 2: 0.026775
2024-10-10 18:01:34,156 - INFO - Term 1: 15037798400.000000, Term 2: 0.028284
2024-10-10 18:01:34,156 - INFO - Term 1: 14883435520.000000, Term 2: 0.029869
2024-10-10 18:01:34,156 - INFO - Term 1: 14729751552.000000, Term 2: 0.031521
2024-10-10 18:01:34,156 - INFO - Term 1: 14576736256.000000, Term 2: 0.033228
2024-10-10 18:01:34,172 - INFO - Term 1: 14424377344.000000, Term 2: 0.035175
2024-10-10 18:01:34,172 - INFO - Term 1: 14272669696.000000, Term 2: 0.036953
2024-10-10 18:01:34,172 - INFO - Term 1: 14121603072.000000, Term 2: 0.038968
2024-10-10 18:01:34,172 - INFO - Term 1: 13971165184.000000, Term 2: 0.040979
2024-10-10 18:01:34,172 - INFO - Term 1: 13821357056.000000, Term 2: 0.043262
2024-10-10 18:01:34,172 - INFO - Term 1: 13672165376.000000, Term 2: 0.045512
2024-10-10 18:01:34,172 - INFO - Term 1: 13523584000.000000, Term 2: 0.047666
2024-10-10 18:01:34,188 - INFO - Term 1: 13375608832.000000, Term 2: 0.050091
2024-10-10 18:01:34,188 - INFO - Term 1: 13228225536.000000, Term 2: 0.052841
2024-10-10 18:01:34,188 - INFO - Term 1: 13081431040.000000, Term 2: 0.055422
2024-10-10 18:01:34,188 - INFO - Term 1: 12935217152.000000, Term 2: 0.058338
2024-10-10 18:01:34,188 - INFO - Term 1: 12789580800.000000, Term 2: 0.060959
2024-10-10 18:01:34,188 - INFO - Term 1: 12644512768.000000, Term 2: 0.063898
2024-10-10 18:01:34,219 - INFO - Energy level is now: [19795742.] and the energy wasted to process the data is: [4257.5527]
2024-10-10 18:01:34,235 - INFO - Energy level is now: [19016356.] and the energy wasted to hover over the node is: 779385.6
2024-10-10 18:01:34,235 - INFO - The UAV has finished its business in the current node
2024-10-10 18:01:34,235 - INFO - The strategies at node 0 have converged to: [1.    0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001
 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001
 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001
 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001
 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001
 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001
 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001
 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001
 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001
 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001
 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001]
2024-10-10 18:01:34,235 - INFO - The task intensities of the users at node 0 are: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-10-10 18:01:34,235 - INFO - Converged with strategy difference: 0.0 in 3 iterations
